time,close
1997-09-09,934
1997-09-10,915.25
1997-09-11,908.5
1997-09-12,924
1997-09-15,931.5
1997-09-16,956
1997-09-17,956
1997-09-18,957.75
1997-09-19,960.5
1997-09-22,966.25
1997-09-23,962
1997-09-24,954.5
1997-09-25,946.5
1997-09-26,953.25
1997-09-29,961.75
1997-09-30,954.5
1997-10-01,963.5
1997-10-02,969
1997-10-03,975.5
1997-10-06,981.5
1997-10-07,989.5
1997-10-08,982.25
1997-10-09,978
1997-10-10,976.75
1997-10-13,976.25
1997-10-14,977.5
1997-10-15,973.5
1997-10-16,959.75
1997-10-17,948.75
1997-10-20,962.25
1997-10-21,979.5
1997-10-22,974.25
1997-10-23,955.5
1997-10-24,944
1997-10-27,874
1997-10-28,924.5
1997-10-29,924.5
1997-10-30,903
1997-10-31,924
1997-11-03,945.75
1997-11-04,945.75
1997-11-05,947
1997-11-06,942.25
1997-11-07,931.25
1997-11-10,926.25
1997-11-11,926.5
1997-11-12,908.25
1997-11-13,919.25
1997-11-14,932.5
1997-11-17,950
1997-11-18,942.5
1997-11-19,947.75
1997-11-20,963
1997-11-21,969.5
1997-11-24,949.75
1997-11-25,951.75
1997-11-26,955
1997-11-28,955
1997-12-01,979.5
1997-12-02,975
1997-12-03,977.5
1997-12-04,977
1997-12-05,986.5
1997-12-08,984.5
1997-12-09,979
1997-12-10,970.25
1997-12-11,954.5
1997-12-12,955.5
1997-12-15,974.25
1997-12-16,980.5
1997-12-17,975.5
1997-12-18,965
1997-12-19,957.5
1997-12-22,962.75
1997-12-23,945
1997-12-24,942.25
1997-12-26,946
1997-12-29,965.75
1997-12-30,979.25
1997-12-31,979
1998-01-02,984.75
1998-01-05,987
1998-01-06,971
1998-01-07,974
1998-01-08,961.25
1998-01-09,929.5
1998-01-12,945.5
1998-01-13,959.5
1998-01-14,963.25
1998-01-15,955
1998-01-16,968.5
1998-01-20,985.25
1998-01-21,975.5
1998-01-22,966.25
1998-01-23,964.5
1998-01-26,963.5
1998-01-27,973.75
1998-01-28,982
1998-01-29,987
1998-01-30,987.75
1998-02-02,1004
1998-02-03,1010.75
1998-02-04,1009.75
1998-02-05,1009.5
1998-02-06,1018.5
1998-02-09,1015
1998-02-10,1024.25
1998-02-11,1023.75
1998-02-12,1026.75
1998-02-13,1022.25
1998-02-17,1027.5
1998-02-18,1035.25
1998-02-19,1030.75
1998-02-20,1037.5
1998-02-23,1041.25
1998-02-24,1033.75
1998-02-25,1045.5
1998-02-26,1052
1998-02-27,1050.5
1998-03-02,1050
1998-03-03,1055.5
1998-03-04,1048
1998-03-05,1038.75
1998-03-06,1057.25
1998-03-09,1054
1998-03-10,1065
1998-03-11,1068.5
1998-03-12,1072.5
1998-03-13,1069.5
1998-03-16,1080
1998-03-17,1094.25
1998-03-18,1097.75
1998-03-19,1101.75
1998-03-20,1111.25
1998-03-23,1108.25
1998-03-24,1117
1998-03-25,1113.75
1998-03-26,1110.75
1998-03-27,1107.5
1998-03-30,1105.75
1998-03-31,1110.5
1998-04-01,1118.25
1998-04-02,1131
1998-04-03,1134.75
1998-04-06,1127
1998-04-07,1119
1998-04-08,1111.75
1998-04-09,1119.5
1998-04-13,1117.25
1998-04-14,1125
1998-04-15,1128.25
1998-04-16,1115.5
1998-04-17,1130.5
1998-04-20,1129
1998-04-21,1135.5
1998-04-22,1136.5
1998-04-23,1126.5
1998-04-24,1112.75
1998-04-27,1093.5
1998-04-28,1091
1998-04-29,1096.75
1998-04-30,1119.25
1998-05-01,1129.5
1998-05-04,1128
1998-05-05,1120
1998-05-06,1106.75
1998-05-07,1098.25
1998-05-08,1115.5
1998-05-11,1112.25
1998-05-12,1122
1998-05-13,1124
1998-05-14,1119.5
1998-05-15,1112.5
1998-05-18,1108.25
1998-05-19,1115.5
1998-05-20,1124
1998-05-21,1118.25
1998-05-22,1114
1998-05-26,1094
1998-05-27,1096.5
1998-05-28,1100.75
1998-05-29,1090.75
1998-06-01,1095.25
1998-06-02,1095.75
1998-06-03,1078.25
1998-06-04,1097.75
1998-06-05,1117.5
1998-06-08,1117
1998-06-09,1119.5
1998-06-10,1113
1998-06-11,1092
1998-06-12,1100.5
1998-06-15,1073.75
1998-06-16,1099.5
1998-06-17,1122
1998-06-18,1118
1998-06-19,1112.25
1998-06-22,1116.75
1998-06-23,1130
1998-06-24,1145.5
1998-06-25,1143.5
1998-06-26,1147.5
1998-06-29,1151.5
1998-06-30,1143
1998-07-01,1156.5
1998-07-02,1158
1998-07-06,1169.5
1998-07-07,1167.25
1998-07-08,1175
1998-07-09,1167.5
1998-07-10,1172.5
1998-07-13,1173.75
1998-07-14,1185.75
1998-07-15,1183.5
1998-07-16,1191.25
